AÑO;SEMANA;PRECIO POR KG EN USD;VOLUMEN TOTAL DE IMPORTACION
2015;1;7,03571;2168208
2015;2;6,692;4309200
2015;3;6,66061;5665464
2015;4;6,98958;4445280
2015;5;7,29167;3882816
2015;6;7,33464;3669624
2015;7;7,96024;3043656
2015;8;7,56778;3524472
2015;9;7,40103;3896424
2015;10;6,80467;3533544
2015;11;6,20667;2952936
2015;12;6,43533;2354184
2015;13;10,80636;1977696
2015;14;14,1345;2326968
2015;15;11,46857;3125304
2015;16;8,8572;3578904
2015;17;8,32543;3955392
2015;18;6,96774;5193720
2015;19;6,09394;6491016
2015;20;5,68219;5683608
2015;21;5,89;5021352
2015;22;5,46316;7194096
2015;23;4,4305;7556976
2015;24;3,509;7189560
2015;25;3,4975;8994888
2015;26;3,48667;10650528
2015;27;3,4185;8695512
2015;28;3,38367;7026264
2015;29;3,39576;5484024
2015;30;3,69811;5497632
2015;31;4,33438;4672080
2015;32;5,32697;4545072
2015;33;6,38931;3660552
2015;34;6,789;3352104
2015;35;6,952;2762424
2015;36;7,9387;2444904
2015;37;10,31333;1973160
2015;38;12,722;1306368
2015;39;15,43375;1093176
2015;40;15,58667;1338120
2015;41;16,66867;911736
2015;42;17,93333;1274616
2015;43;18,13667;1274616
2015;44;16,97;2336040
2015;45;15,72769;1905120
2015;46;14,72125;1886976
2015;47;13,28706;6636168
2015;48;12,88625;2131920
2015;49;11,844;1818936
2015;50;10,54565;3288600
2015;51;9,1835;2712528
2015;52;7,742;6722352
2016;1;7,3268;6631632
2016;2;7,6304;5311656
2016;3;7,6455;4545072
2016;4;7,7481;6785856
2016;5;7,43238;5656392
2016;6;6,9596;5747112
2016;7;6,297;5778864
2016;8;5,5624;4313736
2016;9;5,71478;2776032
2016;10;5,73214;2766960
2016;11;7,92909;1873368
2016;12;12,944;2009448
2016;13;14,808;1192968
2016;14;17,013;1573992
2016;15;18,14182;1605744
2016;16;15,685;2290680
2016;17;11,78414;3792096
2016;18;7,96571;5434128
2016;19;5,98333;6921936
2016;20;4,98632;8201088
2016;21;4,2805;8146656
2016;22;4,18313;7175952
2016;23;4,68133;7257600
2016;24;4,27143;9062928
2016;25;3,87923;11503296
2016;26;4,06424;9380448
2016;27;3,90429;6654312
2016;28;3,67484;6536376
2016;29;3,92133;6386688
2016;30;4,49519;5878656
2016;31;5,02;5180112
2016;32;5,9028;3764880
2016;33;6,6364;2825928
2016;34;7,099;2639952
2016;35;7,7363;2054808
2016;36;8,69071;1360800
2016;37;11,97083;1288224
2016;38;13,73;943488
2016;39;18,189;1828008
2016;40;18,238;1564920
2016;41;14,318;2449440
2016;42;12,028;2812320
2016;43;10,276;2893968
2016;44;8,77267;2594592
2016;45;8,455;2998296
2016;46;8,80467;2789640
2016;47;8,57667;1886976
2016;48;8,733;3642408
2016;49;8,24025;4821768
2016;50;6,72244;6264216
2016;51;5,13044;6368544
2016;52;4,14;5542992
2017;1;4,0175;5552064
2017;2;4,22578;3801168
2017;3;4,48;5488560
2017;4;5,05514;5964840
2017;5;6,11;5021352
2017;6;6,29286;4758264
2017;7;6,33;5710824
2017;8;6,45786;3098088
2017;9;6,71514;4499712
2017;10;6,97229;3107160
2017;11;7,67267;2830464
2017;12;9,62706;2190888
2017;13;13,86846;2127384
2017;14;12,9255;2903040
2017;15;11,9787;3343032
2017;16;9,55038;4150440
2017;17;7,34267;4681152
2017;18;6,95967;4272912
2017;19;7,926;3660552
2017;20;8,65121;5547528
2017;21;7,638;4545072
2017;22;5,76;5769792
2017;23;5,473;5583816
2017;24;5,62667;6173496
2017;25;5,71067;5329800
2017;26;5,23;5683608
2017;27;5,67125;5651856
2017;28;5,6369;7806456
2017;29;4,194;6872040
2017;30;3,9404;6704208
2017;31;4,2784;4404456
2017;32;5,1592;4440744
2017;33;5,60741;3592512
2017;34;5,82538;4014360
2017;35;6,0168;3184272
2017;36;6,99727;2853144
2017;37;6,989;2512944
2017;38;7,58;2354184
2017;39;11,862;2340576
2017;40;12,801;2998296
2017;41;11,22727;3324888
2017;42;9,932;3270456
2017;43;9,34188;3787560
2017;44;9,6355;3474576
2017;45;9,72438;3619728
2017;46;9,94529;3610656
2017;47;11,8225;2240784
2017;48;11,69733;2853144
2017;49;11,32444;3016440
2017;50;11,8484;3093552
2017;51;10,31784;3129840
2017;52;10,6575;3206952
2018;1;8,58536;3778488
2018;2;7,35875;6717816
2018;3;6,43357;5538456
2018;4;5,932;4653936
2018;5;5,80133;6146280
2018;6;5,65467;5547528
2018;7;5,55667;7779240
2018;8;5,28333;4490640
2018;9;5,02314;4490640
2018;10;4,64438;4431672
2018;11;4,888;3701376
2018;12;6,27679;6422976
2018;13;12,134;2903040
2018;14;11,175;4077864
2018;15;9,78533;3501792
2018;16;8,348;3737664
2018;17;7,4976;4567752
2018;18;8,1;3887352
2018;19;8,90167;3696840
2018;20;9,947;3020976
2018;21;8,78;3919104
2018;22;7,89846;4073328
2018;23;6,54643;4731048
2018;24;5,28769;4998672
2018;25;4,8535;6182568
2018;26;4,89;7339248
2018;27;4,43556;7008120
2018;28;3,89074;7461720
2018;29;3,33423;7071624
2018;30;3,18316;5125680
2018;31;3,194;4458888
2018;32;4,19933;4572288
2018;33;4,96667;3855600
2018;34;5,66588;3637872
2018;35;6,88571;3370248
2018;36;7,42095;2862216
2018;37;8,17792;2181816
2018;38;10,06;1369872
2018;39;11,3975;2862216
2018;40;13,95182;2308824
2018;41;14,465;1796256
2018;42;12,7955;2857680
2018;43;11,92036;3891888
2018;44;9,3225;5166504
2018;45;7,17444;3284064
2018;46;6,21429;2072952
2018;47;6,1025;2150064
2018;48;6,67333;1909656
2018;49;7,31;2658096
2018;50;7,77394;2998296
2018;51;7,46533;3402000
2018;52;6,37;3515400
2019;1;6,09609;2984688
2019;2;5,4424;4594968
2019;3;5,3504;4458888
2019;4;5,03024;3846528
2019;5;4,93109;5420520
2019;6;4,85491;5434128
2019;7;4,53609;5601960
2019;8;4,35;4504248
2019;9;4,26927;4985064
2019;10;4,70333;3361176
2019;11;6,14938;5057640
2019;12;9,898;2984688
2019;13;10,68692;3347568
2019;14;11,042;3338496
2019;15;9,70267;4939704
2019;16;7,2732;4966920
2019;17;5,828;5302584
2019;18;4,8528;5044032
2019;19;4,4204;5125680
2019;20;4,7685;5248152
2019;21;5,405;5202792
2019;22;5,23125;5352480
2019;23;5,3455;5978448
2019;24;5,264;6214320
2019;25;5,07458;6305040
2019;26;5,3804;6295968
2019;27;4,66235;5434128
2019;28;4,43345;4989600
2019;29;4,27897;5973912
2019;30;4,2132;6350400
2019;31;4,1528;5529384
2019;32;4,3716;4830840
2019;33;3,78923;4259304
2019;34;4,06333;4068792
2019;35;5,33139;4077864
2019;36;5,98957;2608200
2019;37;6,66519;3628800
2019;38;7,9881;2975616
