Day;Day;2015;2016;2017;2018;2019
0;0;;;;;
1;1;;;;;
2;2;;;;4536;
3;3;;;;9072;
4;4;;;;13608;
5;5;;;;9072;13608
6;6;;;;9072;
7;7;;;;4536;
8;8;;;;9072;
9;9;;;;13608;
10;10;;;;9072;
11;11;;;;13608;
12;12;;;;13608;31752
13;13;;;;9072;
14;14;;;;;
15;15;;;;13608;
16;16;;;;9072;
17;17;;;;27216;
18;18;;;;18144;
19;19;;;;22680;27216
20;20;;;;9072;
21;21;;;;;
22;22;;;;;
23;23;;;;18144;
24;24;;;;13608;
25;25;;;;9072;
26;26;;;;13608;40824
27;27;;;;4536;
28;28;;;;;
29;29;;;;9072;
30;30;;;;9072;
31;31;;;;;
32;32;;;;;
33;33;;;;18144;49896
34;34;;;;13608;
35;35;;;;;
36;36;;;;22680;
37;37;;;;18144;
38;38;;;;;
39;39;;;;31752;
40;40;;;;27216;68040
41;41;;;;22680;
42;42;;;;;
43;43;;;;18144;
44;44;;;;22680;
45;45;;;;22680;
46;46;;;;40824;4536
47;47;;;;22680;63504
48;48;;;;13608;
49;49;;;;;
50;50;;;;22680;4536
51;51;;;;;
52;52;;;;;4536
53;53;;;;;
54;54;;;;27216;72576
55;55;;;;13608;
56;56;;;;;
57;57;;;;22680;4536
58;58;;;;18144;4536
59;59;;;;13608;4536
60;60;;;;18144;4536
61;61;;;;4536;95256
62;62;;;;9072;
63;63;;;136080;;
64;64;;;;18144;4536
65;65;;4536;;18144;
66;66;18144;;;18144;4536
67;67;;;;18144;4536
68;68;;;;22680;117936
69;69;;;;13608;
70;70;;;226800;;4536
71;71;;;;40824;4536
72;72;;4536;;58968;13608
73;73;49896;;;36288;9072
74;74;;;;36288;9072
75;75;;;;40824;149688
76;76;;;;22680;4536
77;77;;;462672;;9072
78;78;;;13608;36288;18144
79;79;;4536;22680;49896;18144
80;80;58968;;36288;18144;13608
81;81;;;27216;18144;4536
82;82;;;18144;40824;181440
83;83;;;13608;40824;
84;84;;;13608;13608;49896
85;85;;;9072;45360;13608
86;86;;4536;9072;58968;4536
87;87;68040;;27216;54432;4536
88;88;;;36288;58968;31752
89;89;;;22680;4536;226800
90;90;;;27216;31752;9072
91;91;;;31752;;31752
92;92;;;18144;58968;22680
93;93;;9072;31752;63504;31752
94;94;99792;;45360;54432;27216
95;95;;;40824;49896;36288
96;96;31752;;45360;54432;217728
97;97;22680;;45360;45360;9072
98;98;27216;;27216;36288;27216
99;99;22680;;13608;45360;27216
100;100;31752;22680;22680;58968;40824
101;101;27216;;36288;72576;36288
102;102;13608;;81648;63504;22680
103;103;49896;;40824;58968;222264
104;104;36288;;40824;58968;4536
105;105;49896;;31752;18144;31752
106;106;40824;;36288;45360;49896
107;107;36288;117936;18144;49896;31752
108;108;49896;;49896;63504;18144
109;109;27216;;40824;49896;27216
110;110;49896;;45360;54432;185976
111;111;63504;;54432;63504;18144
112;112;58968;;49896;18144;77112
113;113;86184;4536;13608;49896;81648
114;114;63504;267624;45360;45360;81648
115;115;86184;;49896;58968;77112
116;116;18144;;58968;72576;77112
117;117;49896;;72576;81648;99792
118;118;54432;4536;63504;68040;31752
119;119;86184;4536;68040;18144;127008
120;120;58968;9072;9072;108864;108864
121;121;117936;335664;136080;95256;95256
122;122;72576;4536;77112;95256;99792
123;123;4536;22680;95256;95256;108864
124;124;58968;9072;72576;95256;99792
125;125;90720;4536;68040;104328;36288
126;126;72576;4536;108864;27216;113400
127;127;63504;18144;49896;86184;131544
128;128;63504;417312;131544;72576;127008
129;129;36288;13608;122472;77112;122472
130;130;;4536;99792;99792;113400
131;131;54432;22680;158760;95256;149688
132;132;77112;13608;131544;86184;63504
133;133;95256;9072;145152;31752;136080
134;134;90720;13608;18144;108864;163296
135;135;72576;485352;108864;99792;117936
136;136;90720;;127008;108864;104328
137;137;27216;4536;95256;104328;154224
138;138;54432;9072;90720;63504;181440
139;139;90720;13608;140616;136080;58968
140;140;63504;13608;136080;45360;77112
141;141;68040;4536;27216;77112;145152
142;142;22680;585144;22680;86184;108864
143;143;13608;81648;-4536;99792;117936
144;144;13608;77112;113400;31752;95256
145;145;13608;18144;95256;72576;122472
146;146;40824;;90720;99792;81648
147;147;4536;;49896;22680;86184
148;148;113400;;9072;90720;136080
149;149;86184;689472;95256;77112;140616
150;150;77112;9072;54432;104328;131544
151;151;13608;18144;90720;81648;99792
152;152;68040;13608;63504;18144;167832
153;153;77112;18144;90720;58968;54432
154;154;81648;13608;81648;9072;172368
155;155;86184;22680;18144;31752;154224
156;156;68040;485352;68040;63504;86184
157;157;54432;18144;86184;49896;117936
158;158;40824;9072;18144;18144;86184
159;159;81648;22680;54432;27216;86184
160;160;68040;18144;68040;45360;49896
161;161;58968;13608;58968;13608;72576
162;162;63504;22680;18144;63504;167832
163;163;36288;553392;68040;49896;99792
164;164;154224;13608;18144;54432;117936
165;165;68040;27216;72576;49896;108864
166;166;95256;27216;54432;72576;90720
167;167;185976;22680;27216;63504;31752
168;168;222264;13608;22680;22680;113400
169;169;140616;31752;9072;63504;58968
170;170;104328;412776;63504;31752;77112
171;171;58968;31752;45360;81648;95256
172;172;95256;27216;68040;45360;54432
173;173;31752;18144;9072;27216;208656
174;174;90720;31752;36288;27216;13608
175;175;172368;22680;27216;99792;36288
176;176;99792;18144;9072;122472;18144
177;177;86184;694008;27216;149688;22680
178;178;99792;18144;27216;176904;9072
179;179;104328;163296;27216;108864;18144
180;180;127008;136080;18144;90720;553392
181;181;140616;154224;4536;208656;58968
182;182;140616;117936;489888;77112;136080
183;183;81648;90720;4536;86184;163296
184;184;45360;68040;;127008;181440
185;185;36288;127008;;185976;154224
186;186;54432;77112;9072;140616;163296
187;187;58968;149688;9072;99792;158760
188;188;27216;131544;;167832;108864
189;189;81648;149688;825552;54432;154224
190;190;49896;81648;68040;122472;154224
191;191;49896;99792;40824;86184;190512
192;192;40824;72576;86184;99792;131544
193;193;49896;72576;63504;72576;127008
194;194;90720;122472;95256;86184;290304
195;195;49896;68040;140616;49896;
196;196;72576;163296;113400;95256;145152
197;197;131544;63504;45360;86184;131544
198;198;18144;54432;63504;104328;90720
199;199;54432;72576;77112;113400;122472
200;200;45360;154224;54432;99792;122472
201;201;95256;131544;36288;63504;154224
202;202;54432;122472;40824;204120;63504
203;203;72576;99792;49896;13608;108864
204;204;9072;127008;36288;86184;136080
205;205;54432;77112;58968;31752;122472
206;206;27216;81648;63504;63504;204120
207;207;58968;108864;40824;167832;136080
208;208;45360;122472;22680;31752;95256
209;209;58968;95256;31752;81648;99792
210;210;40824;81648;40824;99792;122472
211;211;22680;99792;54432;40824;140616
212;212;13608;81648;54432;72576;163296
213;213;27216;36288;36288;36288;99792
214;214;45360;99792;49896;58968;104328
215;215;31752;86184;54432;36288;63504
216;216;36288;113400;36288;58968;154224
217;217;45360;90720;36288;58968;63504
218;218;18144;95256;45360;104328;140616
219;219;31752;63504;45360;58968;77112
220;220;31752;58968;68040;22680;113400
221;221;31752;58968;27216;22680;104328
222;222;36288;45360;49896;22680;136080
223;223;22680;72576;36288;190512;127008
224;224;22680;45360;18144;36288;90720
225;225;31752;54432;104328;31752;117936
226;226;18144;18144;45360;27216;81648
227;227;9072;13608;45360;27216;154224
228;228;13608;72576;58968;;58968
229;229;31752;77112;36288;31752;99792
230;230;13608;68040;45360;267624;158760
231;231;18144;36288;36288;22680;54432
232;232;9072;58968;58968;45360;108864
233;233;27216;13608;49896;27216;104328
234;234;31752;27216;58968;4536;108864
235;235;18144;81648;49896;;90720
236;236;22680;45360;40824;22680;90720
237;237;54432;31752;36288;222264;63504
238;238;54432;27216;40824;18144;77112
239;239;27216;68040;36288;58968;81648
240;240;13608;27216;58968;18144;68040
241;241;13608;18144;68040;18144;68040
242;242;4536;18144;72576;13608;68040
243;243;22680;54432;68040;18144;45360
244;244;22680;22680;45360;140616;72576
245;245;27216;27216;27216;31752;54432
246;246;22680;36288;45360;9072;81648
247;247;9072;4536;63504;22680;95256
248;248;13608;13608;72576;9072;81648
249;249;;31752;58968;9072;77112
250;250;22680;18144;40824;13608;54432
251;251;9072;27216;22680;167832;36288
252;252;9072;9072;31752;27216;72576
253;253;13608;9072;27216;36288;58968
254;254;;9072;40824;40824;49896
255;255;9072;4536;45360;18144;49896
256;256;;18144;27216;13608;40824
257;257;;22680;36288;9072;4536
258;258;;22680;36288;54432;13608
259;259;;18144;36288;31752;45360
260;260;;18144;18144;22680;27216
261;261;;9072;4536;;22680
262;262;13608;4536;9072;27216;13608
263;263;;;4536;13608;27216
