Day;Day;2015;2016;2017;2018;2019
0;0;;;;;
1;1;117936;9072;;9072;22680
2;2;1524096;231336;1220184;226800;58968
3;3;258552;639576;90720;154224;72576
4;4;267624;2032128;113400;172368;131544
5;5;848232;943488;299376;163296;2481192
6;6;1383480;290304;136080;2957472;104328
7;7;40824;789264;2413152;95256;163296
8;8;163296;158760;1279152;181440;63504
9;9;362880;1682856;81648;154224;167832
10;10;1174824;734832;68040;136080;167832
11;11;335664;1138536;335664;185976;136080
12;12;889056;902664;77112;145152;3801168
13;13;925344;158760;136080;5837832;95256
14;14;485352;1546776;1905120;77112;131544
15;15;1614816;249480;1197504;195048;86184
16;16;653184;367416;81648;176904;149688
17;17;308448;948024;54432;131544;145152
18;18;789264;1206576;331128;140616;122472
19;19;444528;589680;86184;158760;3710448
20;20;176904;852768;136080;4563216;113400
21;21;312984;834624;4758264;172368;72576
22;22;1247400;199584;40824;149688;72576
23;23;644112;367416;975240;104328;167832
24;24;594216;494424;122472;131544;167832
25;25;1025136;2472120;217728;158760;199584
26;26;426384;870912;77112;117936;3102624
27;27;798336;857304;127008;3914568;63504
28;28;86184;421848;3066336;77112;90720
29;29;1211112;526176;1378944;217728;113400
30;30;276696;1283688;95256;90720;122472
31;31;535248;353808;54432;145152;127008
32;32;548856;2245320;254016;95256;95256
33;33;653184;1002456;99792;127008;4744656
34;34;36288;489888;77112;5388768;127008
35;35;145152;689472;3302208;81648;131544
36;36;966168;476280;1138536;45360;208656
37;37;866376;698544;40824;63504;27216
38;38;263088;54432;45360;131544;167832
39;39;739368;1524096;258552;185976;122472
40;40;875448;648648;185976;181440;4690224
41;41;181440;412776;145152;4848984;86184
42;42;217728;548856;4009824;90720;204120
43;43;562464;1029672;72576;127008;108864
44;44;381024;576072;235872;81648;167832
45;45;435456;1006992;208656;195048;45360
46;46;390096;1233792;190512;145152;167832
47;47;104328;1542240;131544;213192;4844448
48;48;267624;1310904;72576;6912864;63504
49;49;462672;267624;3887352;104328;154224
50;50;1025136;217728;984312;127008;145152
51;51;394632;381024;276696;99792;145152
52;52;508032;825552;58968;136080;267624
53;53;762048;1261008;95256;117936;113400
54;54;916272;362880;149688;208656;3538080
55;55;879984;553392;154224;3714984;140616
56;56;294840;598752;2299752;86184;140616
57;57;535248;54432;63504;172368;86184
58;58;231336;957096;1025136;90720;145152
59;59;757512;526176;58968;127008;317520
60;60;281232;925344;68040;154224;158760
61;61;1188432;303912;113400;99792;4009824
62;62;576072;49896;108864;3787560;127008
63;63;290304;766584;2458512;58968;204120
64;64;394632;226800;666792;195048;131544
65;65;594216;127008;190512;104328;167832
66;66;113400;376488;163296;81648;190512
67;67;376488;798336;127008;145152;290304
68;68;1256472;403704;163296;303912;2281608
69;69;317520;104328;127008;3587976;95256
70;70;185976;471744;2159136;13608;231336
71;71;340200;49896;176904;276696;249480
72;72;312984;480816;231336;145152;222264
73;73;190512;458136;181440;136080;167832
74;74;349272;408240;244944;176904;335664
75;75;426384;539784;517104;104328;3760344
76;76;244944;154224;235872;2739744;90720
77;77;131544;149688;1283688;122472;353808
78;78;494424;167832;136080;163296;185976
79;79;530712;408240;254016;199584;235872
80;80;353808;45360;113400;181440;258552
81;81;172368;349272;417312;185976;399168
82;82;276696;195048;240408;208656;1265544
83;83;317520;358344;222264;5288976;285768
84;84;172368;367416;766584;195048;331128
85;85;281232;331128;176904;235872;299376
86;86;244944;272160;267624;267624;331128
87;87;480816;136080;312984;254016;412776
88;88;204120;163296;281232;449064;467208
89;89;417312;158760;294840;403704;1229256
90;90;312984;95256;317520;1233792;276696
91;91;290304;140616;494424;58968;435456
92;92;331128;136080;158760;517104;412776
93;93;344736;449064;535248;349272;435456
94;94;557928;49896;317520;249480;539784
95;95;72576;217728;435456;394632;544320
96;96;435456;190512;340200;439992;689472
97;97;430920;131544;589680;1828008;281232
98;98;449064;176904;598752;299376;798336
99;99;385560;181440;86184;562464;594216
100;100;567000;548856;616896;417312;780192
101;101;376488;127008;485352;421848;739368
102;102;480816;181440;594216;508032;766584
103;103;580608;176904;435456;576072;916272
104;104;498960;204120;648648;694008;344736
105;105;449064;299376;453600;322056;798336
106;106;498960;154224;108864;648648;925344
107;107;639576;439992;598752;539784;771120
108;108;607824;149688;562464;458136;657720
109;109;303912;244944;589680;449064;757512
110;110;607824;226800;653184;508032;816480
111;111;662256;195048;712152;798336;240408
112;112;580608;258552;680400;335664;938952
113;113;458136;185976;353808;625968;852768
114;114;684936;1020600;866376;535248;811944
115;115;721224;158760;712152;721224;970704
116;116;240408;349272;598752;839160;752976
117;117;671328;403704;644112;793800;716688
118;118;789264;480816;839160;684936;258552
119;119;816480;476280;635040;367416;789264
120;120;757512;580608;385560;802872;993384
121;121;1047816;1261008;712152;671328;567000
122;122;898128;240408;648648;521640;725760
123;123;213192;712152;766584;548856;975240
124;124;1047816;662256;544320;576072;639576
125;125;1106784;494424;757512;503496;353808
126;126;1183896;739368;562464;263088;825552
127;127;957096;648648;281232;498960;852768
128;128;993384;1846152;535248;625968;712152
129;129;893592;331128;571536;625968;993384
130;130;308448;830088;684936;589680;911736
131;131;1020600;743904;539784;526176;557928
132;132;961632;585144;594216;580608;272160
133;133;984312;807408;598752;249480;607824
134;134;766584;830088;136080;503496;625968
135;135;875448;2667168;725760;521640;866376
136;136;784728;458136;712152;394632;807408
137;137;290304;752976;952560;435456;839160
138;138;852768;1025136;920808;430920;929880
139;139;916272;748440;1093176;508032;571536
140;140;721224;657720;739368;226800;721224
141;141;884520;861840;403704;580608;739368
142;142;662256;3619728;580608;752976;975240
143;143;730296;535248;322056;503496;757512
144;144;254016;948024;852768;471744;848232
145;145;834624;866376;680400;576072;739368
146;146;1165752;99792;911736;712152;421848
147;147;748440;798336;879984;322056;476280
148;148;1410696;644112;317520;576072;843696
149;149;1351728;4508784;798336;567000;889056
150;150;1211112;281232;875448;616896;861840
151;151;471744;290304;961632;784728;839160
152;152;1265544;349272;889056;571536;893592
153;153;1419768;576072;1020600;694008;548856
154;154;1251936;653184;879984;263088;1047816
155;155;1061424;557928;344736;521640;866376
156;156;1097712;4359096;884520;707616;1129464
157;157;1020600;390096;748440;671328;784728
158;158;439992;621432;984312;716688;743904
159;159;1192968;353808;807408;821016;1061424
160;160;1152144;498960;789264;889056;344736
161;161;1006992;884520;1029672;403704;725760
162;162;943488;721224;340200;857304;748440
163;163;1061424;3719520;1097712;798336;993384
164;164;1319976;458136;843696;644112;694008
165;165;512568;725760;1102248;721224;752976
166;166;902664;752976;1079568;694008;1823472
167;167;1501416;684936;816480;757512;476280
168;168;1156680;730296;852768;526176;1093176
169;169;1560384;603288;381024;834624;866376
170;170;1383480;4989600;1306368;843696;1002456
171;171;1664712;576072;816480;811944;1011528
172;172;825552;1392552;1025136;1016064;988848
173;173;1592136;1496880;612360;1011528;1016064
174;174;1596672;1369872;675864;1220184;326592
175;175;1551312;1261008;508032;444528;825552
176;176;1782648;1147608;385560;1002456;925344
177;177;1347192;4091472;698544;1075032;843696
178;178;2077488;743904;725760;1120392;739368
179;179;703080;1596672;625968;1097712;1002456
180;180;1505952;1573992;816480;1147608;1369872
181;181;1428840;1605744;553392;1442448;589680
182;182;1528632;1306368;1891512;453600;1002456
183;183;1347192;1369872;371952;1047816;898128
184;184;1070496;1229256;512568;821016;834624
185;185;1297296;698544;408240;780192;657720
186;186;517104;1029672;603288;1106784;834624
187;187;1043280;1056888;621432;893592;771120
188;188;1220184;907200;621432;1682856;435456
189;189;1061424;911736;2127384;675864;712152
190;190;1038744;875448;757512;1206576;739368
191;191;884520;1451520;1052352;1279152;739368
192;192;1220184;421848;1297296;1283688;666792
193;193;557928;938952;1410696;1115856;621432
194;194;748440;1006992;993384;1002456;952560
195;195;861840;929880;1016064;943488;557928
196;196;721224;848232;1251936;630504;730296
197;197;866376;1043280;784728;1315440;911736
198;198;780192;970704;1188432;938952;952560
199;199;1011528;798336;1052352;1170288;1006992
200;200;494424;975240;1129464;1025136;884520
201;201;689472;1006992;934416;1006992;911736
202;202;698544;1052352;866376;1124928;576072
203;203;1238328;993384;902664;489888;952560
204;204;893592;938952;798336;857304;907200
205;205;684936;898128;1138536;893592;979776
206;206;1034208;521640;1192968;775656;866376
207;207;258552;843696;984312;816480;866376
208;208;603288;975240;957096;866376;875448
209;209;689472;1147608;852768;598752;902664
210;210;775656;879984;966168;317520;748440
211;211;662256;689472;612360;716688;943488
212;212;666792;721224;821016;712152;830088
213;213;879984;621432;689472;553392;839160
214;214;394632;816480;639576;639576;821016
215;215;594216;870912;644112;598752;811944
216;216;793800;748440;675864;802872;535248
217;217;762048;775656;526176;435456;635040
218;218;635040;712152;408240;807408;879984
