Day;Day;2015;2016;2017;2018;2019
0;0;;;;;
1;1;;;;;
2;2;7,035714286;;;9,311428571;6,494
3;3;;;3,976666667;8,507142857;6,053333333
4;4;;7,448;3,976666667;8,507142857;5,917777778
5;5;6,72;7,132;3,976666667;8,015714286;
6;6;6,72;7,132;4,14;;
7;7;6,72;7,474;;;5,557
8;8;6,65;7,448;;7,875714286;5,557
9;9;6,65;;3,947777778;7,175714286;5,366
10;10;;;3,947777778;7,175714286;5,366
11;11;;7,62;4,411111111;6,967142857;5,366
12;12;6,545714286;7,718;4,411111111;7,78;
13;13;6,545714286;7,67;4,411111111;;
14;14;6,545714286;7,572;;;5,551
15;15;6,861666667;7,572;;;5,6
16;16;6,861666667;;;6,512857143;5,551
17;17;;;4,411111111;6,407142857;5,025
18;18;;;4,438888889;6,407142857;5,025
19;19;;7,572;4,438888889;6,407142857;
20;20;6,943333333;7,67;4,631111111;;
21;21;6,943333333;7,67;;;
22;22;6,943333333;7,67;;6,407142857;5,025
23;23;7,128333333;;4,725555556;5,7;5
24;24;;;4,7;5,5775;5,046363636
25;25;;7,67;5,207142857;5,5775;5,046363636
26;26;7,291666667;7,67;5,207142857;6,005;
27;27;7,291666667;7,67;5,53;;
28;28;7,291666667;7,67;;;4,913636364
29;29;7,291666667;9,31;;5,923333333;4,935454545
30;30;7,291666667;;5,97;5,923333333;4,935454545
31;31;;;5,97;5,72;4,935454545
32;32;;8,82;6,11;5,72;4,935454545
33;33;7,311666667;7,424;6,25;5,72;
34;34;7,311666667;7,424;6,25;;
35;35;7,311666667;7,302;;;4,969090909
36;36;7,311666667;7,302;;5,72;4,857272727
37;37;7,4725;;6,25;5,72;4,857272727
38;38;;;6,408571429;5,72;4,857272727
39;39;;7,204;6,408571429;5,556666667;4,733636364
40;40;7,96625;7,204;6,198571429;5,556666667;
41;41;7,96625;7,058;6,198571429;;
42;42;7,84375;6,764;;;4,733636364
43;43;8,006666667;6,568;;5,556666667;4,733636364
44;44;8,006666667;;6,33;5,556666667;4,3575
45;45;;;6,33;5,556666667;4,3575
46;46;;;6,33;5,556666667;4,35
47;47;;6,568;6,33;5,556666667;
48;48;7,567777778;6,37;6,33;;
49;49;7,567777778;6,37;;;
50;50;7,567777778;5,88;;;4,35
51;51;7,567777778;;;5,556666667;4,35
52;52;;;6,451428571;5,286666667;4,35
53;53;;5,782;6,451428571;5,145;4,35
54;54;7,567777778;5,538;6,591428571;5,145;
55;55;7,567777778;5,538;6,337142857;;
56;56;7,27;5,49;;;4,41125
57;57;7,433333333;5,464;;5,18;4,301111111
58;58;7,065;;6,687142857;5,18;4,21
59;59;;;6,757142857;5,145714286;4,21
60;60;;5,414;6,757142857;4,884285714;4,21
61;61;7,023333333;5,782;6,687142857;4,725714286;
62;62;6,78;5,88;6,687142857;;
63;63;6,74;5,88;;;4,47
64;64;6,74;5,553333333;;4,725714286;4,551666667
65;65;6,74;;6,741428571;4,725714286;4,551666667
66;66;;;6,741428571;4,615;4,633333333
67;67;;5,39;6,741428571;4,615;5,31
68;68;6,206666667;4,9;7,091428571;4,513333333;
69;69;6,206666667;5,8;7,545714286;;
70;70;6,206666667;6,126666667;;;6,86
71;71;6,206666667;6,166666667;;4,638571429;5,861666667
72;72;6,206666667;;7,803333333;4,638571429;6,1875
73;73;;;7,64;5,007142857;6,1875
74;74;;7,023333333;7,64;5,007142857;6,86
75;75;6,2475;7,35;7,64;5,148571429;
76;76;8,33;8,575;7,64;;
77;77;6,2475;8,82;;;9,31
78;78;6,37;9,31;;5,147142857;9,555
79;79;6,37;;9,9225;5,321428571;10,045
80;80;;;9,9225;5,601428571;10,29
81;81;;12,5;9,065;6,6775;10,29
82;82;9,0675;12,5;8,9425;12,18333333;
83;83;9,0675;13,24;12,25;;
84;84;9,5575;13,24;;;10,535
85;85;11,60166667;13,24;;12,34666667;10,535
86;86;14,34;;13,725;12,51;10,86333333
87;87;;;13,725;12,28666667;10,86333333
88;88;;14,22;13,98666667;11,92666667;10,53666667
89;89;14,645;14,22;13,98666667;11,6;
90;90;14,4375;15,2;13,82333333;;
91;91;14,2125;15,2;;;11,10666667
92;92;13,9675;15,2;;11,51666667;11,10666667
93;93;13,41;;13,4725;11,15;11,27
94;94;;;13,4725;11,10666667;11,02666667
95;95;;16,425;12,8075;11,025;10,7
96;96;12,815;16,425;12,56;11,02666667;
97;97;12,61;17,405;12,315;;
98;98;11,5575;17,405;;;10,25
99;99;10,575;17,405;;10,53666667;10,08666667
100;100;10,122;;12,575;10,13;9,473333333
101;101;;;12,4675;9,556666667;9,473333333
102;102;;18,63;12,02;9,473333333;9,23
103;103;9,596;18,385;11,628;9,23;
104;104;9,596;18,385;11,42;;
105;105;8,55;17,895;;;7,694
106;106;8,404;17,65666667;;9,146666667;7,596
107;107;8,14;;10,538;8,496666667;7,45
108;108;;;9,9;8,086666667;6,96
109;109;;16,4675;9,668;8,086666667;6,666
110;110;8,738571429;16,18;9,264;7,923333333;
111;111;8,372857143;15,7225;8,576666667;;
112;112;8,215714286;15,2725;;;6,322
113;113;8,231428571;14,7825;;7,792;5,932
114;114;8,068571429;;7,718333333;7,448;5,834
115;115;;;7,31;7,448;5,638
116;116;;14,376;7,228333333;7,4;5,414
117;117;7,427777778;13,488;7,228333333;7,4;
118;118;7,03;11,45166667;7,228333333;;
119;119;6,849090909;10,64666667;;;5,05
120;120;6,76;9,975714286;;7,556666667;5,05
121;121;6,855454545;;7,025;7,556666667;4,852
122;122;;;6,78;8,27;4,656
123;123;;8,711428571;6,78;8,3925;4,656
124;124;6,524444444;8,237142857;7,106666667;8,4525;
125;125;;8,237142857;7,106666667;;
126;126;5,9525;7,54;;;4,582
127;127;5,9225;7,102857143;;8,575;4,484
128;128;5,9225;;7,596666667;8,575;4,471666667
129;129;;;7,596666667;8,575;4,19
130;130;;6,391666667;8,096666667;9,555;4,35
131;131;5,637142857;6,371666667;8,17;9,555;
132;132;5,688571429;5,921666667;8,17;;
133;133;5,575;5,676666667;;;4,33
134;134;5,705714286;5,555;;9,8;4,7325
135;135;5,832;;8,536666667;9,8;4,8075
136;136;;;8,801666667;10,045;4,8075
137;137;;5,392;8,664285714;10,045;4,998
138;138;5,9775;5,344;8,681428571;10,045;
139;139;5,9775;;8,577142857;;
140;140;5,915;4,56;;;5,208
141;141;5,81;4,565;;9,066666667;5,256
142;142;5,81;;8,413333333;8,6675;5,4675
143;143;;;7,78;8,82;5,59
144;144;;4,4575;7,535;8,6375;5,59
145;145;;4,3975;7,19;;
146;146;5,614;4,3975;7,19;;
147;147;5,538;4,09;;;
148;148;5,49;4,06;;;5,4375
149;149;5,1475;;;8,425;5,1625
150;150;;;5,8825;7,75;5,1625
151;151;;;5,8825;7,84;5,1625
152;152;4,78;4,1375;5,76;7,433333333;
153;153;4,535;4,1675;5,515;;
154;154;4,535;4,1975;;;5,1625
155;155;4,32;4,23;;7,186666667;5,27
156;156;3,9825;;5,485;7,35;5,27
157;157;;;5,455;6,536666667;5,5125
158;158;;4,656666667;5,455;6,046666667;5,5125
159;159;3,6325;4,656666667;5,455;5,88;
160;160;3,54;4,656666667;5,515;;
161;161;3,4625;4,656666667;;;5,3
162;162;3,4475;4,78;;6,005;5,4225
163;163;3,4625;;5,49;5,76;5,24
164;164;;;5,6975;4,983333333;5,24
165;165;;4,32;5,6375;4,983333333;5,1175
166;166;3,37;4,32;5,6375;5,103333333;
167;167;3,4;4,2275;5,705;;
168;168;3,4;4,2575;;;5,05
169;169;3,444;4,24;;4,965;5,1
170;170;3,72;;5,8875;4,9025;5,014
171;171;;;6,053333333;4,84;4,916
172;172;;3,896;5,765;4,78;5,3475
173;173;3,572;3,45;5,16;4,78;
174;174;;3,973333333;5,285;;
175;175;3,403333333;3,911666667;;;5,3775
176;176;3,448;3,953333333;;5,1775;5,43
177;177;3,54;;5,285;4,9325;5,332
178;178;;;5,16;4,9325;5,294
179;179;;4,088571429;5,16;4,7175;5,453333333
180;180;3,492;4,044285714;5,22;4,69;
181;181;3,468;4,095714286;5,42;;
182;182;3,382;4,043333333;;;4,9025
183;183;3,332;4,043333333;;4,505;4,715
184;184;;;5,26;4,535;4,5925
185;185;;;;;
186;186;;;5,26;4,46;4,484
187;187;3,41;3,955714286;5,9;4,276;
188;188;3,41;3,955714286;5,936;;
189;189;3,41;3,852857143;;;4,436
190;190;3,4;3,852857143;;4,18;4,473333333
191;191;3,288333333;;5,848333333;4,03;4,433333333
192;192;;;5,868333333;3,81;4,433333333
193;193;;3,651428571;5,852;3,81;4,391666667
