Day;Day;2015;2016;2017;2018;2019
0;0;;;;;
1;1;;;;;
2;2;;;;14,71;9,68
3;3;;;9,963333333;14,71;10,475
4;4;;17,405;9,963333333;14,71;10,475
5;5;;16,425;9,963333333;14,71;
6;6;;16,425;9,963333333;;
7;7;;16,425;;;10,475
8;8;;16,425;;13,56666667;10,475
9;9;;;9,636666667;12,91333333;11,3925
10;10;;;9,636666667;12,91333333;11,3925
11;11;;17,16;9,636666667;12,41666667;11,515
12;12;;17,16;9,636666667;12,25333333;
13;13;;17,16;9,636666667;;
14;14;;17,16;;;11,515
15;15;;17,16;;;11,515
16;16;;;;11,92333333;11,515
17;17;;;9,636666667;11,92333333;11,515
18;18;;;9,636666667;11,92333333;11,515
19;19;;17,16;9,636666667;11,92333333;
20;20;;17,405;9,636666667;;
21;21;;15,935;;;
22;22;;15,445;;12,99;11,515
23;23;;;9,8;12,99;11,515
24;24;;;9,8;12,58333333;11,515
25;25;;15,445;9,8;12,58333333;11,515
26;26;;15,445;9,8;12,41666667;
27;27;;15,445;9,8;;
28;28;;15,445;;;11,21
29;29;;;;12,25333333;11,21
30;30;;;10,29;12,25333333;11,21
31;31;;;10,29;12,25333333;9,8025
32;32;;;9,8;12,25333333;9,8025
33;33;;14,465;9,473333333;12,25333333;
34;34;;14,465;9,026666667;;
35;35;;14,095;;;9,8025
36;36;;14,095;;12,25333333;8,6675
37;37;;;9,026666667;11,27;8,6675
38;38;;;9,026666667;11,10666667;8,6675
39;39;;13,36;9,026666667;11,10666667;8,4225
40;40;;13,36;9,026666667;11,10666667;
41;41;;12,995;9,026666667;;
42;42;;12,75;;;8,4225
43;43;;12,75;;11,10666667;8,4225
44;44;;;9,026666667;11,10666667;7,7225
45;45;;;9,026666667;11,10666667;7,7225
46;46;;;9,026666667;11,10666667;7,475
47;47;;11,76;9,026666667;10,45333333;
48;48;;11,025;9,026666667;;
49;49;;11,025;;;
50;50;;10,045;;;7,475
51;51;;;;10,29;7,475
52;52;;;9,026666667;9,556666667;6,936
53;53;;10,045;9,026666667;8,64;6,936
54;54;;9,555;9,026666667;8,382;
55;55;;9,13;9,026666667;;
56;56;;9,13;;;6,936
57;57;;9,13;;8,382;6,74
58;58;;;9,883333333;8,382;6,433333333
59;59;;;9,883333333;8,382;6,433333333
60;60;;9,13;10,04666667;8,284;6,433333333
61;61;;9,13;10,04666667;7,844;
62;62;;9,13;10,04666667;;
63;63;;9,13;;;6,026666667
64;64;;7,97;;7,696;6,026666667
65;65;;;10,94333333;7,696;6,026666667
66;66;;;11,10666667;7,696;6,026666667
67;67;;;11,10666667;7,696;5,493333333
68;68;;;11,27;7,696;
69;69;;11,76;11,27;;
70;70;;11,76;;;
71;71;;11,76;;7,696;
72;72;;;10,91;7,696;6,37
73;73;;;10,91;7,696;6,37
74;74;;;10,91;7,696;
75;75;;;10,91;7,254;
76;76;;;10,91;;
77;77;;;;;17,16
78;78;;;;7,204;17,16
79;79;;;;7,302;17,65
80;80;;;;7,622;16,67
81;81;;;;8,536666667;17,4
82;82;;;;;
83;83;;;;;
84;84;;;;;16,91
85;85;;;;;16,67
86;86;;;;;16,67
87;87;;;19,12;;16,42
88;88;;;18,63;;15,69
89;89;;;18,63;;
90;90;;;18,14;;
91;91;;;;;15,69
92;92;;;;;15,69
93;93;;;17,895;;15,69
94;94;;;17,895;;15,69
95;95;;;17,895;;15,44
96;96;;;17,895;;
97;97;;;17,895;;
98;98;;;;;14,83
99;99;24;;;;14,95
100;100;24;;17,895;;14,95
101;101;;;17,895;;14,95
102;102;;;17,895;;14,95
103;103;24;;17,895;;
104;104;;;17,895;;
105;105;;;;;14,83
106;106;;;;;14,465
107;107;16,67;;17,405;;14,465
108;108;;;17,405;;14,275
109;109;;;17,40333333;;14,155
110;110;16,67;;17,24;;
111;111;15,935;;17,24;;
112;112;15,935;;;;13,73
113;113;13,485;;;;13,73
114;114;13,485;;16,34333333;12,01;13,73
115;115;;;15,69;12,01;12,75
116;116;;;16,18;12,01;12,13
117;117;13,485;;16,18;12,01;
118;118;13,235;;16,18;;
119;119;12,25;;;;12,13
120;120;12,25;;;12,01;12,13
121;121;12,25;;15,445;12,01;12,13
122;122;;;14,955;12,01;12,13
123;123;;14,71;14,955;12,01;9,8
124;124;11,27;14,71;13,72666667;12,01;
125;125;;14,22;13,72666667;;
126;126;11,27;13,24;;;9,065
127;127;11,27;13,24;;11,03;9,065
128;128;11,27;;13,72666667;12,01;7,676666667
129;129;;;13,72666667;12,01;7,676666667
130;130;;13,24;13,60333333;12,01;7,676666667
131;131;11,27;13,24;14,22;12,01;
132;132;11,27;13,24;14,22;;
133;133;11,27;13,24;;;6,616666667
134;134;11,27;13,24;;12,25;6,943333333
135;135;11,27;;11,27;12,25;6,696666667
136;136;;;11,27;12,25;6,696666667
137;137;;10,78;11,27;12,25;6,86
138;138;12,01;10,78;11,59666667;12,25;
139;139;12,01;;11,59666667;;
140;140;11,27;9,31;;;7,76
141;141;11,27;9,31;;11,76;7,76
142;142;11,27;;11,025;11,76;7,76
143;143;;;11,025;11,76;7,923333333
144;144;;9,31;11,27;11,76;7,923333333
145;145;;9,31;11,27;;
146;146;11,27;9,31;11,27;;
147;147;11,27;9,31;;;
148;148;11,27;9,31;;;7,433333333
149;149;11,27;;;11,76;7,27
150;150;;;10,78;11,76;7,27
151;151;;;10,78;10,29;7,27
152;152;11,27;9,31;10,78;9,8;
153;153;11,27;9,31;10,78;;
154;154;11,27;9,31;;;7,433333333
155;155;11,27;9,31;;9,8;7,433333333
156;156;10,29;;10,78;9,8;7,433333333
157;157;;;10,78;9,8;8,126666667
158;158;;9,8;10,78;9,8;8,126666667
159;159;10,29;9,8;10,78;9,8;
160;160;10,29;9,8;10,78;;
161;161;10,29;9,8;;;8,126666667
162;162;10,29;9,8;;9,8;8,126666667
163;163;10,29;;10,29;9,8;7,76
164;164;;;10,29;;7,76
165;165;;9,8;10,29;;7,76
166;166;10,29;9,8;;;
167;167;10,29;9,8;;;
168;168;10,29;9,8;;;8,3175
169;169;9,8;9,8;;;8,24
170;170;9,2775;;;;8,19
171;171;;;;;7,5425
172;172;;;;;8,47
173;173;8,94;;;;
174;174;;5,64;;;
175;175;8,45;5,64;;;8,52
176;176;8,25;5,64;;;8,52
177;177;6,73;;;8,82;9,3275
178;178;;;;7,595;9,3275
179;179;;7,23;;7,595;8,6575
180;180;6,73;7,23;;6,86;
181;181;6,73;7,23;;;
182;182;6,73;7,23;;;8,3225
183;183;6,48;7,23;;6,495;8,3225
184;184;;;;6,495;8,2325
185;185;;;;;
186;186;;;;5,88;8,355
187;187;6,73;7,23;6,86;5,635;
188;188;6,73;7,23;6,86;;
189;189;6,73;7,23;;;7,785
190;190;6,73;7,23;;5,635;7,785
191;191;6,73;;6,86;5,515;7,23
192;192;;;6,86;5,27;7,23
193;193;;7,23;6,86;5,27;7,23
194;194;6,73;7,23;6,86;6,29;
195;195;6,73;7,23;6,86;;
196;196;6,73;7,23;;;7,23
197;197;6,73;7,23;;6,21;7,23
198;198;8,13;;6,86;5,45;7,23
199;199;;;6,86;5,45;7,23
200;200;;7,23;6,86;5,45;7,23
201;201;8,25;7,72;6,86;5,515;
202;202;8,74;7,72;6,86;;
203;203;8,985;7,965;;;7,23
204;204;9,11;7,965;;5,515;7,23
205;205;9,11;;6,86;5,39;6,68
206;206;;;6,86;5,39;6,68
207;207;;7,965;6,86;5,39;6,68
208;208;11,5;7,965;6,86;5,39;
209;209;11,5;7,965;6,86;;
210;210;11,5;7,965;;;6,615
211;211;11,5;7,965;;5,39;6,615
212;212;11,99;;6,86;5,39;6,615
213;213;;;6,86;5,39;6,86
214;214;;8,33;6,86;5,39;6,86
215;215;12,48;8,33;6,86;5,39;
216;216;12,48;8,33;8,21;;
217;217;12,48;8,33;;;6,86
218;218;13,46;8,33;;5,39;6,86
219;219;13,46;;8,21;7,77;6,86
220;220;;;8,21;7,77;6,86
221;221;;9,065;11,27;7,77;6,86
222;222;13,46;9,065;11,27;7,77;
223;223;13,46;9,435;11,27;;
224;224;13,46;9,435;;;7,17
225;225;13,46;9,435;;7,77;7,17
226;226;13,46;;11,27;7,77;7,17
227;227;;;11,27;10,06;7,17
228;228;;13,73;11,27;10,06;
229;229;14,44;13,73;11,27;10,06;
230;230;15,42;13,73;11,27;;
231;231;15,42;13,73;;;8,21
232;232;19,63;14,71;;12,11;8,21
233;233;19,63;;11,27;12,11;8,575
234;234;;;11,27;12,11;8,575
235;235;;15,2;11,27;12,11;8,575
