Week;Week;2015;2016;2017;2018;2019;;
0;0;;;;;;;
1;1;2168208;6631632;5552064;3778488;2984688;;
2;2;4309200;5311656;3801168;6717816;4594968;;Importaciones semanales en KG de Arandanos No-Organicos
3;3;5665464;4545072;5488560;5538456;4458888;;
4;4;4445280;6785856;5964840;4653936;3846528;;
5;5;3882816;5656392;5021352;6146280;5420520;;
6;6;3669624;5747112;4758264;5547528;5434128;;
7;7;3043656;5778864;5710824;7779240;5601960;;
8;8;3524472;4313736;3098088;4490640;4504248;;
9;9;3896424;2776032;4499712;4490640;4985064;;
10;10;3533544;2766960;3107160;4431672;3361176;;
11;11;2952936;1873368;2830464;3701376;5057640;;
12;12;2354184;2009448;2190888;6422976;2984688;;
13;13;1977696;1192968;2127384;2903040;3347568;;
14;14;2326968;1573992;2903040;4077864;3338496;;
15;15;3125304;1605744;3343032;3501792;4939704;;
16;16;3578904;2290680;4150440;3737664;4966920;;
17;17;3955392;3792096;4681152;4567752;5302584;;
18;18;5193720;5434128;4272912;3887352;5044032;;
19;19;6491016;6921936;3660552;3696840;5125680;;
20;20;5683608;8201088;5547528;3020976;5248152;;
21;21;5021352;8146656;4545072;3919104;5202792;;
22;22;7194096;7175952;5769792;4073328;5352480;;
23;23;7556976;7257600;5583816;4731048;5978448;;
24;24;7189560;9062928;6173496;4998672;6214320;;
25;25;8994888;11503296;5329800;6182568;6305040;;
26;26;10650528;9380448;5683608;7339248;6295968;;
27;27;8695512;6654312;5651856;7008120;5434128;;
28;28;7026264;6536376;7806456;7461720;4989600;;
29;29;5484024;6386688;6872040;7071624;5973912;;
30;30;5497632;5878656;6704208;5125680;6350400;;
31;31;4672080;5180112;4404456;4458888;5529384;;
32;32;4545072;3764880;4440744;4572288;4830840;;
33;33;3660552;2825928;3592512;3855600;4259304;;
34;34;3352104;2639952;4014360;3637872;4068792;;
35;35;2762424;2054808;3184272;3370248;4077864;;
36;36;2444904;1360800;2853144;2862216;2608200;;
37;37;1973160;1288224;2512944;2181816;3628800;;
38;38;1306368;943488;2354184;1369872;2975616;;
39;39;1093176;1828008;2340576;2862216;3424680;;
40;40;1338120;1564920;2998296;2308824;3352104;;
41;41;911736;2449440;3324888;1796256;1682856;;
42;42;1274616;2812320;3270456;2857680;1374408;;
43;43;1274616;2893968;3787560;3891888;;;
44;44;2336040;2594592;3474576;5166504;;;
45;45;1905120;2998296;3619728;3284064;;;
46;46;1886976;2789640;3610656;2072952;;;
47;47;6636168;1886976;2240784;2150064;;;
48;48;2131920;3642408;2853144;1909656;;;
49;49;1818936;4821768;3016440;2658096;;;
50;50;3288600;6264216;3093552;2998296;;;
51;51;2712528;6368544;3129840;3402000;;;
52;52;6722352;5542992;3206952;3515400;;;
