Week;Week;2015;2016;2017;2018;2019
0;0;;;;;
1;1;7,035714286;7,3268;4,0175;8,585357143;6,096086957
2;2;6,692;7,6304;4,225777778;7,35875;5,4424
3;3;6,660606061;7,6455;4,48;6,433571429;5,3504
4;4;6,989583333;7,748095238;5,055135135;5,932;5,030238095
5;5;7,291666667;7,432380952;6,11;5,801333333;4,931090909
6;6;7,334642857;6,9596;6,292857143;5,654666667;4,854909091
7;7;7,960238095;6,297;6,33;5,556666667;4,536086957
8;8;7,567777778;5,5624;6,457857143;5,283333333;4,35
9;9;7,401025641;5,714782609;6,715142857;5,023142857;4,269268293
10;10;6,804666667;5,732142857;6,972285714;4,644375;4,703333333
11;11;6,206666667;7,929090909;7,672666667;4,888;6,149375
12;12;6,435333333;12,944;9,627058824;6,276785714;9,898
13;13;10,80636364;14,808;13,86846154;12,134;10,68692308
14;14;14,1345;17,013;12,9255;11,175;11,042
15;15;11,46857143;18,14181818;11,97869565;9,785333333;9,702666667
16;16;8,8572;15,685;9,550384615;8,348;7,2732
17;17;8,325428571;11,78413793;7,342666667;7,4976;5,828
18;18;6,967735849;7,965714286;6,959666667;8,1;4,8528
19;19;6,093939394;5,983333333;7,926;8,901666667;4,4204
20;20;5,6821875;4,986315789;8,651212121;9,947;4,7685
21;21;5,89;4,2805;7,638;8,78;5,405
22;22;5,463157895;4,183125;5,76;7,898461538;5,23125
23;23;4,4305;4,681333333;5,473;6,546428571;5,3455
24;24;3,509;4,271428571;5,626666667;5,287692308;5,264
25;25;3,4975;3,879230769;5,710666667;4,8535;5,074583333
26;26;3,486666667;4,064242424;5,23;4,89;5,3804
27;27;3,4185;3,904285714;5,67125;4,435555556;4,662352941
28;28;3,383666667;3,67483871;5,636896552;3,890740741;4,433448276
29;29;3,395757576;3,921333333;4,194;3,334230769;4,278965517
30;30;3,698108108;4,495185185;3,9404;3,183157895;4,2132
31;31;4,334375;5,02;4,2784;3,194;4,1528
32;32;5,326969697;5,9028;5,1592;4,199333333;4,3716
33;33;6,389310345;6,6364;5,607407407;4,966666667;3,789230769
34;34;6,789;7,099;5,825384615;5,665882353;4,063333333
35;35;6,952;7,736296296;6,0168;6,885714286;5,331388889
36;36;7,938695652;8,690714286;6,997272727;7,420952381;5,989565217
37;37;10,31333333;11,97083333;6,989;8,177916667;6,665185185
38;38;12,722;13,73;7,58;10,06;7,988095238
39;39;15,43375;18,189;11,862;11,3975;8,303846154
40;40;15,58666667;18,238;12,801;13,95181818;8,7124
41;41;16,66866667;14,318;11,22727273;14,465;8,6048
42;42;17,93333333;12,028;9,932;12,7955;8,38
43;43;18,13666667;10,276;9,341875;11,92035714;
44;44;16,97;8,772666667;9,6355;9,3225;
45;45;15,72769231;8,455;9,724375;7,174444444;
46;46;14,72125;8,804666667;9,945294118;6,214285714;
47;47;13,28705882;8,576666667;11,8225;6,1025;
48;48;12,88625;8,733;11,69733333;6,673333333;
49;49;11,844;8,24025;11,32444444;7,31;
50;50;10,54565217;6,722444444;11,8484;7,773939394;
51;51;9,1835;5,130444444;10,31783784;7,465333333;
52;52;7,742;4,14;10,6575;6,37;
